x,y
2.037189678881147188e+02,3.555927811596515387e+00
2.037145716425011130e+02,1.078764573539047689e+01
2.029679964764307556e+02,2.049371626483560149e+01
2.021321950083804779e+02,3.263645570667936369e+01
2.011533874507773874e+02,4.442200712571910515e+01
2.009037938093716775e+02,5.289355473969835941e+01
1.998936814731599156e+02,6.597549626267986866e+01
2.006442805479968570e+02,7.296658607456387813e+01
1.980109779440337263e+02,8.816016738667968866e+01
1.971571403940325240e+02,9.476615688972384532e+01
1.962435075634295742e+02,1.120914168846221486e+02
1.955410609737454593e+02,1.182198945747371113e+02
1.945449442440675227e+02,1.313766614322066744e+02
1.968670572843544733e+02,1.462563648399572855e+02
1.934670015591683807e+02,1.634199553533923392e+02
1.942821466999342022e+02,1.776372989370904634e+02
1.938711429534104980e+02,1.939769121053798813e+02
1.688311516564404258e+02,4.530654392362763474e+02
1.423090196153972329e+02,4.513465469415983762e+02
1.163060707222196299e+02,4.507362287559743663e+02
9.278664948725365491e+01,4.497790570679447342e+02
6.840496815166575573e+01,4.493228353112821765e+02
4.591898903011782807e+01,4.486562675885091380e+02
2.333751781786009616e+01,4.476420699198200168e+02
2.681791390261635044e+00,4.469919551792169727e+02
-2.103377550731297063e+01,4.455037376811870899e+02
-4.192314082521568253e+01,4.442763923092798564e+02
-6.447748223726890160e+01,4.438410799873561245e+02
-8.673102652252826772e+01,4.423271318134899275e+02
-1.107933314871854975e+02,4.402735941411551721e+02
-1.342183293115714946e+02,4.381535148515991978e+02
-1.571505836324813004e+02,4.365772486788226274e+02
-1.788427619811610896e+02,4.354547381610972252e+02
-2.034869195312818420e+02,4.339051003153450097e+02
-2.305060035262282554e+02,4.346619172855685065e+02
-2.576819447787297008e+02,4.328557240409922997e+02
-2.872941953380924360e+02,4.307285779061310222e+02
-3.156419012572499696e+02,4.307275126697950896e+02
-3.489035057512281810e+02,4.277503286667383691e+02
-3.831795305623084005e+02,4.260310403691835859e+02
-4.204773566097575781e+02,4.248574526573245862e+02
-3.553934430452949300e+02,3.010291732380944723e+02
-3.550905004028966800e+02,2.698642927910627805e+02
-3.524286914272368563e+02,2.410871573910263237e+02
-3.556697317880276046e+02,2.176879461289312871e+02
-9.621011971192028795e+02,2.566697274744272477e+02
-9.562384485644314509e+02,2.051634214159266207e+02
-1.340223189252062184e+03,5.851540815059833989e+01
-1.337952187472080595e+03,-1.131123506405112877e+01
