distance,angle
1.066746711095516859e-01,0.000000000000000000e+00
1.120952546100873193e-01,8.000000000000000444e-01
1.082525184691674747e-01,1.600000000000000089e+00
1.137139514642849375e-01,2.400000000000000355e+00
1.153216346241839607e-01,3.200000000000000178e+00
1.106811079410475324e-01,4.000000000000000000e+00
1.126185943532068273e-01,4.800000000000000711e+00
1.124724410824227833e-01,5.600000000000000533e+00
1.153575498888398942e-01,6.400000000000000355e+00
1.151653570698532858e-01,7.200000000000000178e+00
1.159121600746347291e-01,8.000000000000000000e+00
1.169783369072020934e-01,8.800000000000000711e+00
1.176160587946029068e-01,9.600000000000001421e+00
1.181460485486656858e-01,1.040000000000000036e+01
1.195148586924346251e-01,1.120000000000000107e+01
1.251808654321328595e-01,1.200000000000000000e+01
1.182359626151744114e-01,1.280000000000000071e+01
1.241639705952423955e-01,1.360000000000000142e+01
1.226597042496024581e-01,1.440000000000000036e+01
1.194793413077241129e-01,1.520000000000000107e+01
1.228530045785351243e-01,1.600000000000000000e+01
1.287846211608081881e-01,1.680000000000000071e+01
1.275205418399103230e-01,1.760000000000000142e+01
1.308002183388685680e-01,1.840000000000000213e+01
1.266300269544777812e-01,1.920000000000000284e+01
1.343432588816796114e-01,2.000000000000000000e+01
1.343101937012855518e-01,2.080000000000000071e+01
1.322075043265757699e-01,2.160000000000000142e+01
1.347810600012837312e-01,2.240000000000000213e+01
1.331230901553069612e-01,2.320000000000000284e+01
1.390966502548609818e-01,2.400000000000000000e+01
1.414527693325165758e-01,2.480000000000000071e+01
1.390284843435239392e-01,2.560000000000000142e+01
1.468897584754599861e-01,2.640000000000000213e+01
1.423052781366169195e-01,2.720000000000000284e+01
1.476816783301655167e-01,2.800000000000000000e+01
1.512426782962016381e-01,2.880000000000000071e+01
1.521154020140816909e-01,2.960000000000000142e+01
1.614607998422078194e-01,3.040000000000000213e+01
1.613858903857799121e-01,3.120000000000000284e+01
1.580493667543812208e-01,3.200000000000000000e+01
1.685415104442599399e-01,3.280000000000000426e+01
1.609639604996758733e-01,3.360000000000000142e+01
1.734251229236667691e-01,3.439999999999999858e+01
1.704876365213643663e-01,3.520000000000000284e+01
1.757877517390153965e-01,3.600000000000000000e+01
1.782308508990622375e-01,3.680000000000000426e+01
1.858149897415691809e-01,3.760000000000000142e+01
1.859089777593817827e-01,3.840000000000000568e+01
1.918736750100208666e-01,3.920000000000000284e+01
1.920297062109709019e-01,4.000000000000000000e+01
2.078114633778444520e-01,4.080000000000000426e+01
2.142686767454017316e-01,4.160000000000000142e+01
2.113011953844325108e-01,4.240000000000000568e+01
