x,y
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
3.535533905932737309e-01,-3.535533905932737309e-01
7.071067811865474617e-01,-7.071067811865474617e-01
1.060660171779821193e+00,-1.060660171779821193e+00
1.414213562373094923e+00,-1.414213562373094923e+00
1.767766952966368654e+00,-1.767766952966368654e+00
2.000000000000000000e+00,-2.000000000000000000e+00
1.509709662154539833e+00,-1.901941932430907922e+00
1.019419324309079666e+00,-1.803883864861815844e+00
5.291289864636194995e-01,-1.705825797292723767e+00
3.883864861815938818e-02,-1.607767729723631689e+00
-4.514516892273007787e-01,-1.509709662154539611e+00
-9.417420270727608900e-01,-1.411651594585447533e+00
-1.432032364918220946e+00,-1.313593527016355456e+00
-1.922322702763681113e+00,-1.215535459447263600e+00
-2.412613040609141279e+00,-1.117477391878171744e+00
-2.902903378454601224e+00,-1.019419324309079666e+00
-3.000000000000000000e+00,-1.000000000000000000e+00
-2.751930530821582899e+00,-5.658784289377702947e-01
-2.503861061643165797e+00,-1.317568578755407005e-01
-2.479054114725323998e+00,-8.834470076931773275e-02
-2.593786244220341874e+00,6.359784910246259193e-02
-2.566414704790034751e+00,1.054403971751497748e-01
-2.671806313898978935e+00,2.640046072902557661e-01
-2.596955120276314144e+00,3.641160392711357274e-01
-2.692200408875947470e+00,5.289745695313943230e-01
-2.610775231295456411e+00,6.238162294493097004e-01
-2.694698448632243171e+00,7.947164740127462546e-01
-2.518472961751056616e+00,9.720426643329826977e-01
-2.483227864374819127e+00,1.007507902397029920e+00
-2.554488551534628726e+00,1.184063600309931630e+00
-2.172868043304127195e+00,1.507120542191535018e+00
-1.791247535073625663e+00,1.830177484073138405e+00
-1.409627026843124131e+00,2.153234425954741571e+00
-1.028006518612622600e+00,2.476291367836345181e+00
-1.000000000000000000e+00,2.500000000000000000e+00
-5.606982601203274186e-01,2.261223993377281527e+00
-1.213965202406548372e-01,2.022447986754563054e+00
9.825434969918145356e-02,1.903059983443203818e+00
1.281477223591619141e-01,1.926647825036099437e+00
1.088764991978064256e-01,1.737231299997059608e+00
9.773289828641783250e-02,1.547163364356332282e+00
9.488196507763420329e-02,1.356790382607768297e+00
1.004787544010360412e-01,1.166478333726806982e+00
1.146668667079709658e-01,9.766133883862682108e-01
1.626601935156895273e-01,9.625905291226400928e-01
1.855701763045688457e-01,7.735795964001828118e-01
2.341757274282344758e-01,7.618535399460832913e-01
2.660428565243847521e-01,5.741450263321044023e-01
3.151658797102064868e-01,5.648214758771959998e-01
3.562179878967597357e-01,3.789055690444573798e-01
4.057516223518038978e-01,3.720924157602530924e-01
4.552852568068480599e-01,3.652792624760488049e-01
5.057396719946993802e-01,1.816918119570878898e-01
6.303077422025891163e-01,1.713093322589501755e-01
6.905131127499302135e-01,-9.315453850978150374e-03
8.154701308322965803e-01,-1.259320185275564913e-02
8.858554944792278452e-01,-1.894996759691350841e-01
1.010780863505329918e+00,-1.851808597317601557e-01
1.060751011115770748e+00,-1.834533332368101788e-01
1.110721158726211577e+00,-1.817258067418602019e-01
1.191722722874197782e+00,-3.540300336359781808e-01
1.440416731493866731e+00,-3.285096481239991872e-01
1.532889203938152756e+00,-4.949393385041737092e-01
2.024857794090381802e+00,-4.056818105100145067e-01
2.129893217411171769e+00,-5.644821878641708146e-01
2.610081952811378780e+00,-4.251309108885005239e-01
3.090270688211585792e+00,-2.857796339128302887e-01
3.570459423611792804e+00,-1.464283569371600258e-01
3.765032063651359451e+00,-8.996317178148727223e-02
