distance,angle
8.058987729419664348e+00,0.000000000000000000e+00
7.937839538800650629e+00,8.000000000000000444e-01
8.007721261750560870e+00,1.600000000000000089e+00
8.211755402691945704e+00,2.400000000000000355e+00
8.043116966946563196e+00,3.200000000000000178e+00
8.026983175285213434e+00,4.000000000000000000e+00
7.809813131329855551e+00,4.800000000000000711e+00
8.158337050117976830e+00,5.600000000000000533e+00
8.154094444734287350e+00,6.400000000000000355e+00
8.412455479866277841e+00,7.200000000000000178e+00
4.999430232309888034e+00,8.000000000000000000e+00
4.769278948279504604e+00,8.800000000000000711e+00
4.608616211217621661e+00,9.600000000000001421e+00
4.605677727273128852e+00,1.040000000000000036e+01
4.359296547256204413e+00,1.120000000000000107e+01
4.310294393407287039e+00,1.200000000000000000e+01
4.268140895789900746e+00,1.280000000000000071e+01
4.172048691560237721e+00,1.360000000000000142e+01
4.067009545751966826e+00,1.440000000000000036e+01
4.072756335715400411e+00,1.520000000000000107e+01
4.101953864370841529e+00,1.600000000000000000e+01
3.897441328977829134e+00,1.680000000000000071e+01
1.671041118549661197e+00,1.760000000000000142e+01
1.561872141055347996e+00,1.840000000000000213e+01
1.562165488919616818e+00,1.920000000000000284e+01
1.434470638122639752e+00,2.000000000000000000e+01
1.424994191441153690e+00,2.080000000000000071e+01
1.418743849179503025e+00,2.160000000000000142e+01
1.422449459189882637e+00,2.240000000000000213e+01
1.351892049462516621e+00,2.320000000000000284e+01
1.315972866785397821e+00,2.400000000000000000e+01
1.359353242363416481e+00,2.480000000000000071e+01
1.253896534222125769e+00,2.560000000000000142e+01
1.218149678163031435e+00,2.640000000000000213e+01
1.269613268751691004e+00,2.720000000000000284e+01
1.231703033325371344e+00,2.800000000000000000e+01
1.205884051420271774e+00,2.880000000000000071e+01
1.236191559856461675e+00,2.960000000000000142e+01
1.213680967541215683e+00,3.040000000000000213e+01
1.184046549108305868e+00,3.120000000000000284e+01
1.157728712665887283e+00,3.200000000000000000e+01
1.200104500115412476e+00,3.280000000000000426e+01
1.186854686989459395e+00,3.360000000000000142e+01
1.162089390615882678e+00,3.439999999999999858e+01
1.200588381715294251e+00,3.520000000000000284e+01
1.127218384660379158e+00,3.600000000000000000e+01
1.111522267280467657e+00,3.680000000000000426e+01
1.125900679813644611e+00,3.760000000000000142e+01
1.136403952374816617e+00,3.840000000000000568e+01
1.139226289230858447e+00,3.920000000000000284e+01
1.125033674684096541e+00,4.000000000000000000e+01
1.135706554085537778e+00,4.080000000000000426e+01
1.097358873559340253e+00,4.160000000000000142e+01
1.156226813497172490e+00,4.240000000000000568e+01
1.120651712691392854e+00,4.320000000000000284e+01
1.146747841369793131e+00,4.400000000000000000e+01
1.129021032981025296e+00,4.480000000000000426e+01
1.131695316940818818e+00,4.560000000000000142e+01
1.134817038653568311e+00,4.640000000000000568e+01
1.133134153957159995e+00,4.720000000000000284e+01
1.139051181514544542e+00,4.800000000000000000e+01
1.156536547658878478e+00,4.880000000000000426e+01
1.133502977718291449e+00,4.960000000000000142e+01
1.148087634367518595e+00,5.040000000000000568e+01
1.133472146423122773e+00,5.120000000000000284e+01
1.172323857956277804e+00,5.200000000000000000e+01
1.128555643133854813e+00,5.280000000000000426e+01
1.190504230983754352e+00,5.360000000000000142e+01
1.153845853350687900e+00,5.440000000000000568e+01
1.127810391203763363e+00,5.520000000000000284e+01
1.170918187361740692e+00,5.600000000000000000e+01
1.159471611263503288e+00,5.680000000000000426e+01
1.203646278070173103e+00,5.760000000000000142e+01
1.177186240747992052e+00,5.840000000000000568e+01
1.191835316099898678e+00,5.920000000000000284e+01
1.167391428980462553e+00,6.000000000000000000e+01
1.213768026952034340e+00,6.080000000000000426e+01
1.177482697377784104e+00,6.160000000000000142e+01
1.211576746175898389e+00,6.240000000000000568e+01
1.285444897097238970e+00,6.320000000000000284e+01
1.302700132520708376e+00,6.400000000000000000e+01
1.311522354471458485e+00,6.479999999999999716e+01
1.294618545018449085e+00,6.560000000000000853e+01
1.340626677627933416e+00,6.640000000000000568e+01
1.366003517788512367e+00,6.720000000000000284e+01
1.360960763853428457e+00,6.800000000000000000e+01
1.466845237875402885e+00,6.879999999999999716e+01
1.485140941853991148e+00,6.960000000000000853e+01
1.494819871204036144e+00,7.040000000000000568e+01
1.553741169063156624e+00,7.120000000000000284e+01
1.627575821632989861e+00,7.200000000000000000e+01
1.660277436613991409e+00,7.279999999999999716e+01
6.223550237512179173e+00,7.360000000000000853e+01
6.144509861836809250e+00,7.440000000000000568e+01
6.081571534279584412e+00,7.520000000000000284e+01
6.148917080931886936e+00,7.600000000000000000e+01
6.384405377806074533e+00,7.680000000000001137e+01
6.222047331697513783e+00,7.760000000000000853e+01
6.055133103507963632e+00,7.840000000000000568e+01
6.178141810616799567e+00,7.920000000000000284e+01
6.263072801290040736e+00,8.000000000000000000e+01
6.190590152715841121e+00,8.080000000000001137e+01
6.072297227193522495e+00,8.160000000000000853e+01
5.974853446277088587e+00,8.240000000000000568e+01
6.126886329853150848e+00,8.320000000000000284e+01
6.080528014932555791e+00,8.400000000000000000e+01
6.132662781836039301e+00,8.480000000000001137e+01
6.094181679585737754e+00,8.560000000000000853e+01
6.138058381949029751e+00,8.640000000000000568e+01
5.942866741300002253e+00,8.720000000000000284e+01
6.161840914874091801e+00,8.800000000000000000e+01
6.025033341939582066e+00,8.880000000000001137e+01
6.249183592911048635e+00,8.960000000000000853e+01
5.917441665708511600e+00,9.040000000000000568e+01
6.209677541280512969e+00,9.120000000000000284e+01
6.027421036055216952e+00,9.200000000000000000e+01
5.928908141602594384e+00,9.280000000000001137e+01
5.953681931215462519e+00,9.360000000000000853e+01
